2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | BACKTEST  BTC  30d  started 2026-04-04T04:30:11.860241+00:00
2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | Fetching BTC data for 30 days...
2026-04-04 11:30:11 | INFO    |   1h...
2026-04-04 11:30:12 | INFO    |   1h: 840 candles
2026-04-04 11:30:12 | INFO    |   15m...
2026-04-04 11:30:12 | INFO    |   15m: 3359 candles
2026-04-04 11:30:12 | INFO    |   5m...
2026-04-04 11:30:14 | INFO    |   5m: 10080 candles
2026-04-04 11:30:14 | INFO    | Backtest window: 8640 M5 candles
2026-04-04 11:30:14 | INFO    |   Progress 0/8640 (0%) | balance=10000 trades=0
2026-04-04 11:30:15 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=72563.2 SL=72285.392 TP=72979.912 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:15 | INFO    |   CLOSE TP | BUY BTC | entry=72563.2 exit=72979.912 pnl=+2.87% (+2.87 USDT) | bal=10003
2026-04-04 11:30:19 | INFO    |   Progress 432/8640 (5%) | balance=10003 trades=1
2026-04-04 11:30:19 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=68434.1 SL=68050.9147 TP=69008.8779 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:19 | INFO    |   CLOSE SL | BUY BTC | entry=68434.1 exit=68050.9147 pnl=-2.80% (-2.80 USDT) | bal=10000
2026-04-04 11:30:19 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=68396.2 SL=68064.5095 TP=68893.7357 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:19 | INFO    |   CLOSE SL | BUY BTC | entry=68396.2 exit=68064.5095 pnl=-2.42% (-2.42 USDT) | bal=9998
2026-04-04 11:30:21 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=67920.4 SL=67695.299 TP=68258.0515 R:R=1.5 | mode=SIDEWAY score=3
2026-04-04 11:30:21 | INFO    |   CLOSE SL | BUY BTC | entry=67920.4 exit=67695.299 pnl=-1.66% (-1.66 USDT) | bal=9996
2026-04-04 11:30:21 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=67665.7 SL=67900.1643 TP=67314.0036 R:R=1.5 | mode=SIDEWAY score=4
2026-04-04 11:30:21 | INFO    |   CLOSE SL | SELL BTC | entry=67665.7 exit=67900.1643 pnl=-1.73% (-1.73 USDT) | bal=9994
