signal,entry,sl,tp,rr,setup,open_ts,mode,score,h1_trend,outcome,exit_price,exit_ts,pnl_pct,pnl_usdt,balance,held_min
BUY,87338.6,87138.5228,87734.5,1.98,setup_E_bb_mean_reversion,2025-12-25T08:20:00+00:00,SIDEWAY,4,SIDEWAY,TP,87734.5,2025-12-25T15:00:00+00:00,2.266,2.27,10002.27,400.0
SELL,88035.7,88223.3714,87702.07,1.78,setup_E_bb_mean_reversion,2025-12-25T15:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,88223.3714,2025-12-25T15:40:00+00:00,-1.066,-1.07,10001.2,5.0
BUY,87357.5,87134.185,87829.915,2.12,setup_E_bb_mean_reversion,2025-12-25T22:45:00+00:00,SIDEWAY,3,SIDEWAY,SL,87134.185,2025-12-25T23:30:00+00:00,-1.278,-1.28,9999.92,45.0
BUY,87062.6,86827.4748,87616.31,2.35,setup_E_bb_mean_reversion,2025-12-25T23:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,86827.4748,2025-12-26T00:40:00+00:00,-1.35,-1.35,9998.57,65.0
SELL,88619.1,88877.2382,87376.795,4.81,setup_E_bb_mean_reversion,2025-12-26T02:15:00+00:00,SIDEWAY,4,SIDEWAY,SL,88877.2382,2025-12-26T02:20:00+00:00,-1.456,-1.46,9997.12,5.0
SELL,89000.0,89474.1,87583.905,2.99,setup_E_bb_mean_reversion,2025-12-26T02:25:00+00:00,SIDEWAY,4,SIDEWAY,SL,89474.1,2025-12-26T07:20:00+00:00,-2.663,-2.66,9994.45,295.0
BUY,88523.9,88334.8522,88850.42,1.73,setup_E_bb_mean_reversion,2025-12-26T14:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,88334.8522,2025-12-26T14:40:00+00:00,-1.068,-1.07,9993.39,5.0
BUY,87966.1,87699.0678,88796.65,3.11,setup_E_bb_mean_reversion,2025-12-26T14:45:00+00:00,SIDEWAY,4,SIDEWAY,SL,87699.0678,2025-12-26T14:50:00+00:00,-1.518,-1.52,9991.87,5.0
BUY,87344.4,87127.8112,88660.91,6.08,setup_E_bb_mean_reversion,2025-12-26T14:55:00+00:00,SIDEWAY,4,SIDEWAY,SL,87127.8112,2025-12-26T15:00:00+00:00,-1.24,-1.24,9990.63,5.0
BUY,87038.1,86730.9238,88497.54,4.75,setup_E_bb_mean_reversion,2025-12-26T15:05:00+00:00,SIDEWAY,4,SIDEWAY,SL,86730.9238,2025-12-26T15:10:00+00:00,-1.765,-1.76,9988.87,5.0
SELL,88319.4,88511.1388,87883.105,2.28,setup_E_bb_mean_reversion,2025-12-29T00:45:00+00:00,SIDEWAY,4,SIDEWAY,TP,87883.105,2025-12-29T01:15:00+00:00,2.47,2.47,9991.33,30.0
SELL,88841.5,89077.683,88188.215,2.77,setup_E_bb_mean_reversion,2025-12-29T02:00:00+00:00,SIDEWAY,4,SIDEWAY,SL,89077.683,2025-12-29T02:05:00+00:00,-1.329,-1.33,9990.01,5.0
SELL,89240.1,89448.4802,88297.355,4.52,setup_E_bb_mean_reversion,2025-12-29T02:10:00+00:00,SIDEWAY,4,SIDEWAY,SL,89448.4802,2025-12-29T03:10:00+00:00,-1.168,-1.17,9988.84,60.0
SELL,89893.2,90080.7864,89213.93,3.62,setup_E_bb_mean_reversion,2025-12-29T03:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,90080.7864,2025-12-29T03:55:00+00:00,-1.043,-1.04,9987.8,20.0
BUY,88664.9,88409.0702,89513.38,3.32,setup_E_bb_mean_reversion,2025-12-29T09:30:00+00:00,SIDEWAY,4,SIDEWAY,SL,88409.0702,2025-12-29T09:35:00+00:00,-1.443,-1.44,9986.36,5.0
BUY,88194.0,87955.412,89396.18,5.04,setup_E_bb_mean_reversion,2025-12-29T09:40:00+00:00,SIDEWAY,4,SIDEWAY,SL,87955.412,2025-12-29T09:45:00+00:00,-1.353,-1.35,9985.01,5.0
BUY,87943.3,87539.7134,89239.505,3.21,setup_E_bb_mean_reversion,2025-12-29T09:50:00+00:00,SIDEWAY,4,SIDEWAY,SL,87539.7134,2025-12-29T11:45:00+00:00,-2.295,-2.29,9982.71,115.0
SELL,87929.6,88174.6592,87364.25,2.31,setup_E_bb_mean_reversion,2025-12-29T14:30:00+00:00,SIDEWAY,3,SIDEWAY,TP,87364.25,2025-12-29T14:55:00+00:00,3.215,3.21,9985.92,25.0
SELL,88057.6,88366.7152,87509.69,1.77,setup_E_bb_mean_reversion,2025-12-30T08:15:00+00:00,SIDEWAY,4,SIDEWAY,SL,88366.7152,2025-12-30T14:20:00+00:00,-1.755,-1.75,9984.17,365.0
SELL,88296.4,88476.5928,88022.475,1.52,setup_E_bb_mean_reversion,2025-12-30T14:45:00+00:00,SIDEWAY,4,SIDEWAY,SL,88476.5928,2025-12-30T14:50:00+00:00,-1.02,-1.02,9983.15,5.0
SELL,88831.4,89153.9628,88112.155,2.23,setup_E_bb_mean_reversion,2025-12-30T14:55:00+00:00,SIDEWAY,4,SIDEWAY,SL,89153.9628,2025-12-30T16:15:00+00:00,-1.816,-1.81,9981.34,80.0
BUY,87432.7,87175.6346,87910.125,1.86,setup_E_bb_mean_reversion,2025-12-31T16:40:00+00:00,SIDEWAY,4,SIDEWAY,TP,87910.125,2025-12-31T18:10:00+00:00,2.73,2.73,9984.07,90.0
SELL,88397.5,88590.795,87999.825,2.06,setup_E_bb_mean_reversion,2026-01-01T17:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,88590.795,2026-01-01T22:05:00+00:00,-1.093,-1.09,9982.97,270.0
SELL,88926.7,89122.8534,88538.01,1.98,setup_E_bb_mean_reversion,2026-01-02T03:10:00+00:00,SIDEWAY,4,SIDEWAY,TP,88538.01,2026-01-02T05:30:00+00:00,2.185,2.18,9985.16,140.0
SELL,89445.1,89646.8902,89111.5,1.65,setup_E_bb_mean_reversion,2026-01-02T09:45:00+00:00,SIDEWAY,4,SIDEWAY,SL,89646.8902,2026-01-02T10:05:00+00:00,-1.128,-1.13,9984.03,20.0
SELL,89805.3,89989.4106,89241.045,3.06,setup_E_bb_mean_reversion,2026-01-02T10:10:00+00:00,SIDEWAY,4,SIDEWAY,TP,89241.045,2026-01-02T14:10:00+00:00,3.142,3.14,9987.17,240.0
BUY,88801.1,88512.3978,89376.385,1.99,setup_E_bb_mean_reversion,2026-01-02T14:15:00+00:00,SIDEWAY,4,SIDEWAY,SL,88512.3978,2026-01-02T14:30:00+00:00,-1.626,-1.62,9985.54,15.0
BUY,89974.8,89491.563,90699.6555,1.5,bullish_engulfing,2026-01-02T16:20:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,TP,90699.6555,2026-01-02T16:30:00+00:00,4.028,4.02,9989.56,10.0
SELL,90260.3,90738.2508,89543.3739,1.5,bearish_engulfing,2026-01-02T18:05:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,89543.3739,2026-01-02T18:50:00+00:00,3.971,3.97,9993.53,45.0
BUY,89375.6,89187.2488,89863.22,2.59,setup_E_bb_mean_reversion,2026-01-03T07:25:00+00:00,SIDEWAY,4,SIDEWAY,TP,89863.22,2026-01-03T09:30:00+00:00,2.728,2.73,9996.26,125.0
